Dependents,tenure,Contract,PaperlessBilling,MonthlyCharges,tenure_group,has_internet,num_addon_services,charge_category,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,Churn
0,6,0,1,55.7,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0
0,46,1,1,103.15,2,1,2,3,1,0,0,0,0,1,0,0,0,1,0
1,55,2,0,20.3,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,21,0,1,36.0,1,1,2,1,0,0,0,0,0,1,0,0,0,1,0
0,3,0,1,69.55,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,12,1,0,19.8,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,20,0,0,78.8,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
1,58,2,1,19.85,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,67,2,0,67.85,3,1,3,2,0,0,0,1,0,0,0,1,0,1,0
0,53,1,1,95.85,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0
0,41,0,0,98.05,2,1,1,3,1,0,0,0,0,0,0,1,0,0,0
1,15,0,0,76.5,1,1,3,2,0,0,0,0,0,1,0,1,0,1,0
0,1,0,1,69.5,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
1,6,0,1,20.2,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,68,1,0,108.45,3,1,3,3,1,0,0,0,0,1,0,1,0,1,1
0,54,1,1,55.45,3,1,2,1,0,0,0,0,0,1,0,1,0,0,0
1,22,1,0,19.95,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,7,0,0,74.65,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1
1,21,0,0,45.65,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,99.75,0,1,1,3,1,0,0,0,0,0,0,1,0,0,1
0,3,0,1,75.05,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
1,23,2,1,91.1,1,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,40,0,1,101.3,2,1,1,3,1,0,0,0,0,1,0,0,0,0,1
0,6,0,1,79.05,0,1,1,2,1,0,0,1,0,0,0,0,0,0,1
0,72,2,0,19.85,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,47,1,1,95.2,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0
0,5,0,1,83.15,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,66,2,1,61.35,3,1,3,1,0,0,0,1,0,0,0,1,0,1,0
0,7,0,1,18.95,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,29,0,0,34.3,2,1,2,0,0,0,0,0,0,1,0,0,0,1,0
0,36,0,1,94.8,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0
0,18,0,0,49.4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
0,45,2,0,53.3,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0
1,59,1,1,106.15,3,1,2,3,1,0,0,0,0,1,0,1,0,0,0
0,61,2,0,25.45,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,5,0,1,94.45,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1
0,38,0,1,66.15,2,1,3,2,0,0,0,1,0,1,0,1,0,0,0
1,71,2,1,76.9,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
1,50,1,1,20.35,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,69,2,0,56.55,3,1,2,1,0,0,0,1,0,1,0,0,0,0,0
0,57,2,1,79.75,3,1,2,2,0,0,0,0,0,1,0,1,0,0,0
0,72,2,1,64.95,3,1,4,1,0,0,0,1,0,1,0,1,0,1,0
0,40,0,1,93.4,2,1,2,2,1,0,0,0,0,1,0,1,0,0,0
0,22,0,1,54.45,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
0,44,1,0,74.85,2,1,2,2,0,0,0,0,0,0,0,1,0,1,0
0,9,0,1,84.45,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,3,0,1,80.4,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,63,1,0,83.0,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,30,1,0,110.45,2,1,3,3,1,0,0,0,0,1,0,1,0,1,0
0,69,1,1,60.8,3,1,3,1,0,0,0,0,0,1,0,1,0,1,0
0,33,0,1,59.45,2,1,3,1,0,0,0,1,0,1,0,1,0,0,0
0,10,0,1,94.9,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1
0,71,1,1,84.8,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,57,2,0,53.35,3,1,2,1,0,0,0,0,0,0,0,1,0,1,0
0,2,0,1,69.6,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,2,0,0,19.9,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,1,0,0,19.3,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1
1,14,0,1,84.8,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
1,23,1,0,57.2,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0
1,43,1,1,60.4,2,1,3,1,0,0,0,1,0,0,0,1,0,1,0
0,11,0,0,72.9,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0
0,24,1,1,58.35,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0
1,58,2,0,20.3,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,43,0,1,91.65,2,1,2,2,1,0,0,0,0,1,0,1,0,0,0
1,45,2,0,20.35,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,58,2,0,20.75,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,10,0,0,24.8,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,70,1,0,115.65,3,1,4,3,1,0,0,1,0,1,0,1,0,1,1
0,69,2,0,99.15,3,1,1,3,1,0,0,1,0,0,0,0,0,0,0
1,68,2,0,60.3,3,1,3,1,0,0,0,0,0,1,0,1,0,1,0
1,70,2,0,80.7,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,12,0,1,78.95,0,1,1,2,1,0,0,1,0,0,0,0,0,0,1
0,16,0,1,49.95,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
0,64,2,0,47.85,3,1,3,1,0,0,0,1,0,0,0,1,0,1,1
1,62,2,1,101.15,3,1,1,3,1,0,0,1,0,0,0,0,0,0,0
0,35,2,0,19.25,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,63,2,0,39.35,3,1,3,1,0,0,0,0,0,1,0,1,0,1,0
0,3,0,0,45.45,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,43,0,1,92.55,2,1,1,2,1,0,0,0,0,0,0,1,0,0,0
0,20,0,1,85.25,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,8,0,1,69.95,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,9,0,1,100.5,0,1,1,3,1,0,0,0,0,0,0,1,0,0,1
0,50,2,0,69.5,3,1,2,2,0,0,0,0,0,0,0,1,0,1,0
1,26,1,1,82.0,2,1,2,2,0,0,0,0,0,0,0,1,0,1,0
0,1,0,1,90.6,0,1,1,2,1,0,0,0,0,1,0,0,0,0,1
1,44,1,0,20.0,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,65,2,1,109.05,3,1,3,3,1,0,0,1,0,0,0,1,0,1,0
0,7,0,1,86.8,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,3,0,0,19.95,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,42,1,1,54.75,2,1,4,1,0,0,0,1,0,1,0,1,0,1,0
0,10,0,1,79.95,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,2,0,1,80.2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,67,0,1,75.7,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,42,0,1,85.9,2,1,2,2,1,0,0,0,0,0,0,1,0,1,0
0,55,0,1,96.75,3,1,2,3,1,0,0,1,0,1,0,0,0,0,1
0,1,0,1,74.5,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
1,72,2,0,85.3,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,8,0,1,87.1,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0
1,68,1,1,73.0,3,1,3,2,0,0,0,1,0,1,0,1,0,0,0
1,31,1,0,20.1,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,45,0,0,81.3,2,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,70,2,1,114.95,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
0,18,0,1,44.35,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,4,0,1,74.9,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,60,1,1,44.45,3,1,2,1,0,0,0,1,0,0,0,1,0,0,0
0,33,1,1,53.75,2,1,2,1,0,0,0,0,0,1,0,0,0,1,0
0,9,0,1,85.35,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
1,47,1,0,40.3,2,1,3,1,0,0,0,1,0,0,0,1,0,1,0
